Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
Statistics:
          MT   Count TotalSize Class Name
7ffc4ba21738       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Collections.Generic.IReadOnlyList<System.ComponentModel.INotifyPropertyChanged>, ABI.System.Collections.Generic.IReadOnlyList<System.ComponentModel.INotifyPropertyChanged>+ToAbiHelper>
7ffc4ba22c58       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Collections.Generic.IReadOnlyList<System.Object>, ABI.System.Collections.Generic.IReadOnlyList<System.Object>+ToAbiHelper>
7ffc4b04a9f0       1        40 Google.Protobuf.Collections.MapField<System.String, Google.Protobuf.WellKnownTypes.Value>+Codec
7ffc4b1d6e38       1        40 System.Buffers.SharedArrayPool<System.ValueTuple<System.String, System.Collections.Generic.IEnumerable<Wavee.Protocol.ExtendedMetadata.ExtensionKind>>>
7ffc4b1dae58       1        40 System.Buffers.SharedArrayPool<System.ValueTuple<System.String, System.Collections.Generic.IEnumerable<System.ValueTuple<Wavee.Protocol.ExtendedMetadata.ExtensionKind, System.String>>>>
7ffc4a88c7c0       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Byte[], System.IDisposable>
7ffc48c202c0       1        40 Wavee.UI.Services.Infra.ReloadCoordinator
7ffc4d998f98       1        40 System.Buffers.SharedArrayPool<Wavee.UI.Models.LikedSongsFilterDto>
7ffc48673d38       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.ICreatesCommandBinding>+Container>
7ffc48678b58       1        40 System.Lazy<System.Reactive.PlatformServices.ISystemClock>
7ffc48678e08       1        40 System.Lazy<System.Reactive.PlatformServices.INotifySystemClockChanged>
7ffc48682108       1        40 System.Lazy<System.Reactive.Concurrency.TaskPoolScheduler>
7ffc485eefa0       1        40 System.Reactive.Concurrency.TaskPoolScheduler
7ffc486879a8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IPlatformOperations>+Container>
7ffc486894d8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IPropertyBindingHook>+Container>
7ffc4868ac68       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingFallbackConverter>+Container>
7ffc4868c1f8       1        40 System.Lazy<System.Reactive.Concurrency.DefaultScheduler>
7ffc48f99d70       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Windowing.AppWindow, Microsoft.UI.Windowing.AppWindowClosingEventArgs>>>
7ffc4957f850       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Collections.Specialized.INotifyCollectionChanged, WinRT.EventRegistrationTokenTable<System.Collections.Specialized.NotifyCollectionChangedEventHandler>>
7ffc4957e5a0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Collections.IList, ABI.System.Collections.IList+ToAbiHelper>
7ffc47ea3f20       1        40 System.Buffers.ReadOnlySequence<System.Byte>
7ffc47ebabd8       1        40 System.Buffers.SharedArrayPool<System.Boolean>
7ffc497036c8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Microsoft.UI.Xaml.Controls.Primitives.RangeBaseValueChangedEventHandler>>
7ffc47f02770       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Microsoft.UI.Xaml.UnhandledExceptionEventHandler>>
7ffc47f04448       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.IntPtr, ABI.WinRT.Interop.EventSourceCache>
7ffc482d3a90       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Type, System.String>
7ffc4850e638       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.Windows.AppNotifications.AppNotificationManager, Microsoft.Windows.AppNotifications.AppNotificationActivatedEventArgs>>>
7ffc48587a38       1        40 Serilog.Core.LoggingLevelSwitch
7ffc485b7b48       1        40 ReactiveUI.ConverterService
7ffc47f5bc10       1        40 System.Collections.ObjectModel.ReadOnlyObservableCollection<Wavee.UI.Services.AddToPlaylist.PendingTrackEntry>
7ffc4a06d890       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.Controls.ScrollView, System.Object>>>
7ffc4a64b470       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Type, System.ComponentModel.TypeDescriptor+TypeDescriptionNode>
7ffc4a64bbb8       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Type, System.Object>
7ffc4a64a238       1        40 System.ComponentModel.ReflectTypeDescriptionProvider
7ffc4a64ab60       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Type, System.ComponentModel.ReflectTypeDescriptionProvider+ReflectedTypeData>
7ffc4a662f40       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Object, Newtonsoft.Json.JsonObjectAttribute>
7ffc4a698aa8       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.String, Wavee.Core.Data.EntityStore<System.String, Wavee.UI.Contracts.AlbumDetailResult>+Slot>
7ffc4bee1a18       1        40 System.Buffers.SharedArrayPool<System.Net.Http.HttpConnection>
7ffc4a05def8       1        40 Wavee.Core.Http.Pathfinder.EmptyVariablesJsonContext
7ffc4e269fe0       1        40 System.Reactive.AutoDetachObserver<System.String>
7ffc4e26eb80       1        40 System.Reactive.Concurrency.ConcurrencyAbstractionLayerImpl+Timer
7ffc48f815e0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Microsoft.UI.Xaml.SizeChangedEventHandler>>
7ffc48f82c68       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.Graphics.Canvas.UI.Xaml.ICanvasAnimatedControl, Microsoft.Graphics.Canvas.UI.Xaml.CanvasAnimatedDrawEventArgs>>>
7ffc4946b180       1        40 Wavee.Local.LocalLikeService
7ffc495b3140       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.Collections.VectorChangedEventHandler<Microsoft.UI.Xaml.DependencyObject>>>
7ffc4966e868       1        40 Wavee.Controls.Lyrics.Controls.NowPlayingCanvas+NowPlayingCanvas_obj1_Bindings+NowPlayingCanvas_obj1_BindingsTracking
7ffc4966eda8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.Graphics.Canvas.UI.Xaml.CanvasAnimatedControl, Microsoft.Graphics.Canvas.UI.CanvasCreateResourcesEventArgs>>>
7ffc497ca130       1        40 System.Net.SystemNetworkCredential
7ffc497d1f30       1        40 System.Lazy<System.Net.IWebProxy>
7ffc497d5050       1        40 System.Net.Http.FailedProxyCache
7ffc497dcbd8       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Uri, System.Int64>
7ffc49805950       1        40 Interop+WinHttp+SafeWinHttpHandle
7ffc4a09f818       1        40 ABI.Windows.Foundation.AsyncActionCompletedHandler+NativeDelegateWrapper
7ffc496432f0       1        40 Wavee.Controls.Lyrics.Hooks.SpoutTextureHook
7ffc4a111a18       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Int32, SharpGen.Runtime.ResultDescriptor>
7ffc4a0ba800       1        40 SpoutDx.Net.Interop.SpoutSender
7ffc4a156230       1        40 SpoutDx.Net.Interop.SpoutSafeHandle
7ffc4a198e38       1        40 System.Collections.Generic.LinkedList<System.Collections.Generic.KeyValuePair<Wavee.UI.WinUI.Services.ImageCacheService+CacheKey, Wavee.UI.WinUI.Services.ImageCacheService+CacheEntry>>
7ffc48a47c60       1        40 System.IO.TextWriter+NullTextWriter
7ffc48a75598       1        40 System.TimeZoneInfo+OffsetAndRule
7ffc48b2cb18       1        40 System.Buffers.SharedArrayPool<Serilog.Sinks.File.RollingLogFile>
7ffc48b53ed8       1        40 Microsoft.Extensions.Hosting.Internal.ServiceFactoryAdapter<Microsoft.Extensions.DependencyInjection.IServiceCollection>
7ffc48b59a78       1        40 Microsoft.Extensions.Configuration.Memory.MemoryConfigurationProvider
7ffc48b51b90       1        40 Microsoft.Extensions.Hosting.HostBuilderContext
7ffc491c1588       1        40 System.Lazy<Microsoft.Extensions.Logging.ILogger>
7ffc48b8cf60       1        40 System.Collections.Concurrent.ConcurrentDictionary<Microsoft.Extensions.FileProviders.IPollingChangeToken, Microsoft.Extensions.FileProviders.IPollingChangeToken>
7ffc48bba228       1        40 System.Collections.Concurrent.ConcurrentQueue<System.Threading.PortableThreadPool+IOCompletionPoller+Event>
7ffc48c09458       1        40 System.Threading.ThreadLocal<Serilog.Extensions.Logging.SerilogLoggerProvider+ScopeCollector>
7ffc48c4d740       1        40 Microsoft.Extensions.DependencyInjection.HttpClientMappingRegistry
7ffc48c5cf38       1        40 System.Collections.Concurrent.ConcurrentDictionary<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey, Microsoft.Extensions.DependencyInjection.ServiceLookup.ILEmitResolverBuilder+GeneratedMethod>
7ffc48c55df0       1        40 System.Collections.Concurrent.ConcurrentDictionary<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier, Microsoft.Extensions.DependencyInjection.ServiceProvider+ServiceAccessor>
7ffc48c60018       1        40 System.Collections.Concurrent.ConcurrentDictionary<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey, Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCallSite>
7ffc48c61cc0       1        40 System.Collections.Concurrent.ConcurrentDictionary<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier, System.Object>
7ffc48fdf400       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Text.Json.JsonSerializerOptions, System.Object>
7ffc491ad6e0       1        40 Microsoft.Extensions.Options.OptionsFactory<Microsoft.Extensions.Http.HttpClientFactoryOptions>
7ffc491adf60       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.String, System.Lazy<Microsoft.Extensions.Http.HttpClientFactoryOptions>>
7ffc48c4d370       1        40 Microsoft.Extensions.Http.LoggingHttpMessageHandlerBuilderFilter
7ffc491c07f8       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.String, System.Lazy<Microsoft.Extensions.Http.ActiveHandlerTrackingEntry>>
7ffc491c11a0       1        40 System.Collections.Concurrent.ConcurrentQueue<Microsoft.Extensions.Http.ExpiredHandlerTrackingEntry>
7ffc491ade48       1        40 System.Lazy<Microsoft.Extensions.Http.HttpClientFactoryOptions>
7ffc49483060       1        40 System.Collections.Concurrent.ConcurrentDictionary<Wavee.UI.WinUI.Data.Stores.ExtensionRequestKey, Wavee.Core.Data.EntityStore<Wavee.UI.WinUI.Data.Stores.ExtensionRequestKey, System.Byte[]>+Slot>
7ffc49484910       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.String, Wavee.UI.WinUI.Services.MusicVideoCatalogCache+Entry>
7ffc494d71f0       1        40 System.Lazy<System.Reactive.Concurrency.CurrentThreadScheduler>
7ffc494deb28       1        40 System.Collections.ObjectModel.ReadOnlyObservableCollection<Wavee.UI.WinUI.Data.Models.IActivityItem>
7ffc494f3478       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.String, System.Threading.Tasks.TaskCompletionSource<System.Boolean>>
7ffc494f6518       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.String, Wavee.Core.Http.Pathfinder.ExtractedColor>
7ffc494fe018       1        40 System.Threading.Tasks.TaskFactory<System.Threading.Tasks.Task>
7ffc48997ea0       1        40 Wavee.UI.WinUI.Controls.TabBar.TabBar+TabBar_obj1_Bindings+TabBar_obj1_BindingsTracking
7ffc495720f0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.Controls.TabView, System.Object>>>
7ffc49574418       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.Controls.TabView, Microsoft.UI.Xaml.Controls.TabViewTabCloseRequestedEventArgs>>>
7ffc496d34d8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.FrameworkElement, Microsoft.UI.Xaml.DataContextChangedEventArgs>>>
7ffc4979bea0       1        40 Microsoft.Extensions.Logging.LoggerMessage+LogValues<System.Net.Http.HttpMethod, System.String>
7ffc497c41f8       1        40 System.Net.Http.Headers.TimeSpanHeaderParser
7ffc497c44b8       1        40 System.Net.Http.Headers.AltSvcHeaderParser
7ffc497c4628       1        40 System.Net.Http.Headers.CacheControlHeaderParser
7ffc497c47c0       1        40 System.Net.Http.Headers.Int64NumberHeaderParser
7ffc497c4990       1        40 System.Net.Http.Headers.UriHeaderParser
7ffc497c50c8       1        40 System.Net.Http.Headers.ByteArrayHeaderParser
7ffc497c52b8       1        40 System.Net.Http.Headers.CookieHeaderParser
7ffc497c54d0       1        40 System.Net.Http.Headers.DateHeaderParser
7ffc497c5660       1        40 System.Net.Http.Headers.Int32NumberHeaderParser
7ffc49dc0a60       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.FrameworkElement, Microsoft.UI.Xaml.EffectiveViewportChangedEventArgs>>>
7ffc49f4da48       1        40 System.Collections.Generic.Deque<Wavee.Connect.Commands.ConnectCommand>
7ffc49f4ddf8       1        40 System.Threading.Channels.BoundedChannel<Wavee.Connect.Commands.ConnectCommand>+BoundedChannelReader
7ffc49f4e3e8       1        40 System.Threading.Channels.BoundedChannel<Wavee.Connect.Commands.ConnectCommand>+BoundedChannelWriter
7ffc49f70ee0       1        40 System.Reactive.Linq.ObservableImpl.Where<Wavee.Connect.Protocol.DealerRequest>+Predicate+_
7ffc49f7f038       1        40 System.Collections.Concurrent.ConcurrentQueue<Wavee.Connect.Events.IPlaybackEvent>
7ffc49f7fa08       1        40 System.Threading.Channels.UnboundedChannel<Wavee.Connect.Events.IPlaybackEvent>+UnboundedChannelReader
7ffc4bb43cf8       1        40 System.Buffers.SharedArrayPool<Wavee.UI.Contracts.ITrackItem>
7ffc4bb487a0       1        40 System.Threading.Tasks.TaskFactory<System.Threading.Tasks.Task<System.Collections.Generic.List<Wavee.UI.Contracts.AlbumMerchItemResult>>>
7ffc4bb4ea38       1        40 System.Threading.Tasks.TaskFactory<System.Threading.Tasks.Task<System.Collections.Generic.List<Wavee.UI.Contracts.AlbumSimilarResult>>>
7ffc4bb63730       1        40 System.Threading.Tasks.TaskFactory<System.Threading.Tasks.Task<Wavee.UI.Contracts.AlbumArtistContextResult>>
7ffc4bb680f0       1        40 System.Threading.Tasks.TaskFactory<System.Threading.Tasks.Task<Wavee.UI.Contracts.AlbumArtistNpvResult>>
7ffc4bb73938       1        40 System.Threading.Tasks.TaskFactory<System.Threading.Tasks.Task<System.Collections.Generic.IReadOnlyList<Wavee.UI.Models.PlaylistDetailDto>>>
7ffc4c211d80       1        40 System.Buffers.SharedArrayPool<System.String>
7ffc48de7398       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<System.Object, Microsoft.UI.Xaml.WindowActivatedEventArgs>>>
7ffc48de8f50       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<System.Object, Microsoft.UI.Xaml.WindowEventArgs>>>
7ffc48deb770       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<System.Object, Microsoft.UI.Xaml.WindowVisibilityChangedEventArgs>>>
7ffc48dee010       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Windowing.AppWindow, Microsoft.UI.Windowing.AppWindowChangedEventArgs>>>
7ffc4870e8b0       1        40 Wavee.UI.WinUI.DragDrop.DragStateService
7ffc49548a88       1        40 System.Lazy<Microsoft.Windows.ApplicationModel.Resources.ResourceLoader>
7ffc495488b8       1        40 Microsoft.Windows.ApplicationModel.Resources.ResourceLoader
7ffc4961e048       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Microsoft.UI.Xaml.Input.DoubleTappedEventHandler>>
7ffc4961f6f0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Microsoft.UI.Xaml.Input.ManipulationCompletedEventHandler>>
7ffc49620d98       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Microsoft.UI.Xaml.Input.ManipulationDeltaEventHandler>>
7ffc49622440       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Microsoft.UI.Xaml.Input.ManipulationStartedEventHandler>>
7ffc485bb830       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<Splat.ILogManager>+Container>
7ffc485e1610       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ServiceTypeRegistryCache+Registry>
7ffc485e3348       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.ValueTuple<System.Type, System.String>, Splat.ArrayHelpers+Entry<System.Func<System.Object>>>
7ffc485e8610       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<Splat.ILogger>+Container>
7ffc485eb3b0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<Splat.ApplicationPerformanceMonitoring.IFeatureUsageTrackingManager>+Container>
7ffc485ecfb8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<System.Func<ReactiveUI.ConverterService>>+Container>
7ffc48643948       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.ICreatesObservableForProperty>+Container>
7ffc48645930       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter>+Container>
7ffc48647a08       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Byte, System.Nullable<System.Byte>>>+Container>
7ffc486495c0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Nullable<System.Byte>, System.Byte>>+Container>
7ffc4864b178       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Int16, System.Nullable<System.Int16>>>+Container>
7ffc4864cd30       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Nullable<System.Int16>, System.Int16>>+Container>
7ffc4864e8e8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Int32, System.Nullable<System.Int32>>>+Container>
7ffc486504d8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Nullable<System.Int32>, System.Int32>>+Container>
7ffc486525a0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Int64, System.Nullable<System.Int64>>>+Container>
7ffc48654158       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Nullable<System.Int64>, System.Int64>>+Container>
7ffc48655d10       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Single, System.Nullable<System.Single>>>+Container>
7ffc486578c8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Nullable<System.Single>, System.Single>>+Container>
7ffc48659480       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Double, System.Nullable<System.Double>>>+Container>
7ffc4865b038       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Nullable<System.Double>, System.Double>>+Container>
7ffc4865cbf0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Decimal, System.Nullable<System.Decimal>>>+Container>
7ffc4865e7a8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IBindingTypeConverter<System.Nullable<System.Decimal>, System.Decimal>>+Container>
7ffc4865fd08       1        40 ReactiveUI.DefaultViewLocator
7ffc48670a58       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IViewLocator>+Container>
7ffc48672328       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Splat.ResolverState, Splat.ContainerCache<ReactiveUI.IActivationForViewFetcher>+Container>
7ffc49a26ef8       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.Security.Cryptography.HashAlgorithmName, System.Int32>
7ffc49a3c5a8       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.ValueTuple<System.String, Interop+BCrypt+BCryptOpenAlgorithmProviderFlags>, System.ValueTuple<Microsoft.Win32.SafeHandles.SafeBCryptAlgorithmHandle, System.Int32>>
7ffc49a3a2f0       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.ValueTuple<System.String, Interop+BCrypt+BCryptOpenAlgorithmProviderFlags>, System.Boolean>
7ffc499fd780       1        40 System.IO.Pipelines.StreamPipeReaderOptions
7ffc489071a0       1        40 Wavee.Core.Authentication.Credentials
7ffc49cefac8       1        40 Wavee.Core.Session.KeepAlive
7ffc49e49c28       1        40 System.Reactive.Linq.ObservableImpl.Skip<Wavee.Connect.Connection.ConnectionState>+Count+_
7ffc49e47fb8       1        40 System.Reactive.Linq.ObservableImpl.Where<Wavee.Connect.Connection.ConnectionState>+Predicate+_
7ffc49e56540       1        40 System.Collections.Generic.LinkedList<System.Collections.Generic.KeyValuePair<System.String, System.String>>
7ffc49e57158       1        40 System.Collections.Generic.LinkedList<System.Collections.Generic.KeyValuePair<System.String, Wavee.Protocol.Player.DeviceAlias>>
7ffc4c6bf4d0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.Graphics.Canvas.CanvasDevice, System.Object>>>
7ffc486c2c20       1        40 Wavee.UI.WinUI.ViewModels.ShowArchivePreview
7ffc489c46e8       1        40 System.Buffers.SharedArrayPool<Serilog.Parsing.MessageTemplateToken>
7ffc489e5bc0       1        40 System.Buffers.SharedArrayPool<System.Char>
7ffc48a10d88       1        40 System.Reflection.CerHashtable<System.Reflection.RuntimeMethodInfo, System.Reflection.RuntimeMethodInfo>+Table
7ffc49a5e718       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Wavee.UI.WinUI.Controls.Cards.ContentCard, Wavee.UI.WinUI.Behaviors.Card.CardPassivePointerBehavior+HandlerHolder>
7ffc49a5eeb8       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Wavee.UI.WinUI.Controls.Cards.ContentCard, Wavee.UI.WinUI.Behaviors.Card.CardEffectiveViewportBehavior+ViewportState>
7ffc49c82db0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Wavee.UI.WinUI.Controls.Imaging.CompositionImage, Wavee.UI.WinUI.Behaviors.Card.CardImageRetryBehavior+RetryState>
7ffc48905fd8       1        40 Wavee.UI.WinUI.Helpers.Application.AppLifecycleHelper+<>c__DisplayClass33_0
7ffc4d5a2b18       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.Controls.AutoSuggestBox, Microsoft.UI.Xaml.Controls.AutoSuggestBoxSuggestionChosenEventArgs>>>
7ffc4d5a5090       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.Controls.NavigationView, Microsoft.UI.Xaml.Controls.NavigationViewSelectionChangedEventArgs>>>
7ffc4d99f0b0       1        40 System.Buffers.SharedArrayPool<Wavee.UI.Models.LikedSongDto>
7ffc4d9ed270       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.Controls.BreadcrumbBar, Microsoft.UI.Xaml.Controls.BreadcrumbBarItemClickedEventArgs>>>
7ffc49140280       1        40 System.Text.Json.Serialization.Converters.EnumConverter<Wavee.UI.WinUI.Data.Models.CloseTabsBehavior>+EnumFieldInfo[]
7ffc49454888       1        40 System.Buffers.SharedArrayPool<System.Object>
7ffc49525058       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Windows.Media.Playback.MediaPlayer, Windows.Media.Playback.MediaPlayerFailedEventArgs>>>
7ffc49527630       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Dispatching.DispatcherQueueTimer, System.Object>>>
7ffc495295c8       1        40 System.Collections.Concurrent.ConcurrentDictionary<System.String, Wavee.Core.Video.CachedVideoManifest>
7ffc4970cd98       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<Microsoft.UI.Xaml.Controls.Image, Wavee.UI.WinUI.Behaviors.ImageFallbackBehavior+CallbackTokenHolder>
7ffc4970d7b0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Microsoft.UI.Xaml.ExceptionRoutedEventHandler>>
7ffc49732cc0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<Microsoft.UI.Xaml.Controls.TeachingTip, Microsoft.UI.Xaml.Controls.TeachingTipClosedEventArgs>>>
7ffc4a2759d0       1        40 System.Runtime.CompilerServices.ConditionalWeakTable<System.Object, ABI.WinRT.Interop.EventSource<Windows.Foundation.TypedEventHandler<System.Object, Microsoft.UI.Composition.CompositionBatchCompletedEventArgs>>>
