Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
Statistics:
          MT   Count TotalSize Class Name
7ffc4b19c608       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Playlist.Capabilities>+<>c__DisplayClass2_0
7ffc4b19cc50       1        24 Google.Protobuf.FieldCodec<Wavee.Protocol.Playlist.PermissionLevel>+<>c__DisplayClass39_0
7ffc4b19cee8       1        24 Google.Protobuf.FieldCodec<Wavee.Protocol.Playlist.PermissionLevel>+<>c
7ffc4bb6da28       1        24 Wavee.Core.Http.Pathfinder.SimilarAlbumsBasedOnThisTrackJsonContext+<>c
7ffc4bb78ca0       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SimilarAlbumsData>+<>c__DisplayClass10_0
7ffc4bb7eb78       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SimilarAlbumsPage>+<>c__DisplayClass10_0
7ffc4bb82130       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<System.Collections.Generic.List<Wavee.Core.Http.Pathfinder.SimilarAlbumItem>>+<>c__DisplayClass10_0
7ffc4bb89fc0       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SimilarAlbumData>+<>c__DisplayClass10_0
7ffc4bba38c0       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SeoArtists>+<>c__DisplayClass10_0
7ffc4bba3ce0       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SeoCoverArt>+<>c__DisplayClass10_0
7ffc4bba4088       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SimilarAlbumDate>+<>c__DisplayClass10_0
7ffc4bba4520       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SimilarAlbumPlayability>+<>c__DisplayClass10_0
7ffc4bba4950       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SimilarAlbumSharingInfo>+<>c__DisplayClass10_0
7ffc4bba8398       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<System.Collections.Generic.List<Wavee.Core.Http.Pathfinder.SeoArtistItem>>+<>c__DisplayClass10_0
7ffc4bbad980       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.SeoArtistProfile>+<>c__DisplayClass10_0
7ffc4bbd7298       1        24 Wavee.Core.Http.Pathfinder.SimilarAlbumsBasedOnThisTrackVariablesJsonContext+<>c
7ffc4c314790       1        24 WinRT.Marshaler<System.IDisposable>+<>c
7ffc4c3159b8       1        24 WinRT.Marshaler<Microsoft.UI.Composition.IAnimationObject>+<>c
7ffc4c319838       1        24 ABI.System.Collections.Generic.IEnumerator<Microsoft.UI.Composition.Interactions.InteractionTrackerInertiaModifier>+<>c
7ffc4c31fac8       1        24 ABI.Microsoft.UI.Composition.CompositionRadialGradientBrushRcwFactoryAttribute
7ffc4c6d4138       1        24 System.AsyncInfoToTaskBridge<Microsoft.Graphics.Canvas.CanvasBitmap, System.VoidValueTypeParameter>+<>c
7ffc4ca2da38       1        24 Wavee.Core.Http.Pathfinder.GetTrackFirstArtistItem[]
7ffc4ca2daf8       1        24 Wavee.Core.Http.Pathfinder.GetTrackTopTrackItem[]
7ffc4ca2dc78       1        24 Wavee.Core.Http.Pathfinder.GetTrackRelatedArtist[]
7ffc4caad110       1        24 Microsoft.Extensions.Logging.Logger<Wavee.UI.WinUI.Data.Contexts.PlaylistPermissionService>
7ffc48c2a690       1        24 Wavee.UI.Services.Playlists.PlaylistTrackFilterSorter
7ffc4caad1e0       1        24 Microsoft.Extensions.Logging.Logger<Wavee.UI.WinUI.ViewModels.PlaylistViewModel>
7ffc4caad330       1        24 Microsoft.Extensions.Logging.Logger<Wavee.UI.WinUI.Services.UserProfileResolver>
7ffc4b1df360       1        24 Wavee.UI.Models.PlaylistTrackDto[]
7ffc4cac1708       1        24 Microsoft.Extensions.Logging.Logger<Wavee.UI.WinUI.Views.PlaylistPage>
7ffc4cac3938       1        24 ABI.Microsoft.UI.Xaml.Controls.RichTextBlockRcwFactoryAttribute
7ffc4cb21138       1        24 Wavee.Core.Http.SpotifyPlaylistMember[]
7ffc4cb21620       1        24 System.Threading.Tasks.Task<Wavee.UI.Contracts.PlaylistMemberResult>[]
7ffc4ced0998       1        24 Microsoft.Extensions.Logging.Logger<Wavee.UI.WinUI.Controls.LocationButton>
7ffc4ceeb908       1        24 Wavee.Core.Http.Pathfinder.ConcertDetailJsonContext+<>c
7ffc4ceed6b8       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertDetailResponseData>+<>c__DisplayClass10_0
7ffc4ceeee08       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertDetailData>+<>c__DisplayClass10_0
7ffc4cef2188       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertDetailOffers>+<>c__DisplayClass10_0
7ffc4cef2530       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertDetailRelatedConcerts>+<>c__DisplayClass10_0
7ffc4cef28d8       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertDetailConcepts>+<>c__DisplayClass10_0
7ffc4cef2c80       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertVenueRef>+<>c__DisplayClass10_0
7ffc4cef4d50       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertCoordinates>+<>c__DisplayClass10_0
7ffc4cef50f8       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<Wavee.Core.Http.Pathfinder.ConcertMetroArea>+<>c__DisplayClass10_0
7ffc4cef8958       1        24 System.Text.Json.Serialization.Metadata.JsonPropertyInfo<System.Collections.Generic.List<Wavee.Core.Http.Pathfinder.ConcertDetailArtistWrapper>>+<>c__DisplayClass10_0
