Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
         Address               MT           Size
    01a082810470     7ffc4890c038             48 
    01a082818fb8     7ffc4890c038             48 
    01a0828451b0     7ffc4890c038             48 
    01a0828505d0     7ffc4890c038             48 
    01a082859070     7ffc4890c038             48 
    01a082861b10     7ffc4890c038             48 
    01a08286a5b0     7ffc4890c038             48 
    01a082c05cb8     7ffc4890c038             48 
    01a082c12620     7ffc4890c038             48 
    01a082c19f30     7ffc4890c038             48 
    01a082c215c0     7ffc4890c038             48 
    01a082c28ab0     7ffc4890c038             48 
    01a082c2fe68     7ffc4890c038             48 
    01a082c370f8     7ffc4890c038             48 
    01a082c40240     7ffc4890c038             48 
    01a082c48088     7ffc4890c038             48 
    01a082c50360     7ffc4890c038             48 
    01a082c57688     7ffc4890c038             48 
    01a082c644d0     7ffc4890c038             48 
    01a082c71638     7ffc4890c038             48 
    01a082c78a10     7ffc4890c038             48 
    01a083005678     7ffc4890c038             48 
    01a08300c270     7ffc4890c038             48 
    01a083013c60     7ffc4890c038             48 
    01a084431be8     7ffc4890c038             48 
    01a084439130     7ffc4890c038             48 
    01a084440620     7ffc4890c038             48 
    01a084447b68     7ffc4890c038             48 
    01a08444f630     7ffc4890c038             48 
    01a084457468     7ffc4890c038             48 
    01a08445f260     7ffc4890c038             48 
    01a0844bf6f0     7ffc4890c038             48 
    01a0844c6b88     7ffc4890c038             48 
    01a0844ce020     7ffc4890c038             48 
    01a0844d54b8     7ffc4890c038             48 
    01a0844dc950     7ffc4890c038             48 
    01a0844e3d20     7ffc4890c038             48 
    01a084501018     7ffc4890c038             48 
    01a0845086f0     7ffc4890c038             48 
    01a08453d4f8     7ffc4890c038             48 
    01a084567498     7ffc4890c038             48 
    01a08457a810     7ffc4890c038             48 
    01a084582298     7ffc4890c038             48 
    01a0845899d0     7ffc4890c038             48 
    01a085406488     7ffc4890c038             48 
    01a08540f6e8     7ffc4890c038             48 
