concerts.emptyWithoutLocation	none	Set your location to discover live music near you.
concerts.explore	none	Explore concerts
concerts.fallbackTitle	none	Concert
concerts.filter.allOf	none	All of {month}
concerts.filter.anytime	none	Anytime
concerts.filter.clear	none	Clear
concerts.filter.custom	none	Custom
concerts.filter.dates	none	Dates
concerts.filter.events	none	events
concerts.filter.filterBy	none	Filter by
concerts.filter.moreGenres	none	+{count} genres
concerts.filter.nextWeekend	none	Next weekend
concerts.filter.showEvents	none	Show events
concerts.filter.showLess	none	Show less
concerts.filter.thisWeekend	none	This weekend
concerts.filter.today	none	Today
concerts.filter.weekend	none	Weekend
concerts.filter.whereRadius	none	{place} · {km} km
concerts.filter.withinKm	none	Within {km} km
concerts.genre	none	Genre
concerts.genreFallback	none	Genre
concerts.homeSubtitle	none	Tour dates, tickets, and shows from artists you love.
concerts.homeTitle	none	Concerts near you
concerts.liveMusic	none	Live music
concerts.location.failed	none	We couldn't get your location. Search for a city instead.
concerts.location.invalid	none	That location can't be saved. Try another.
concerts.location.locating	none	Locating…
concerts.location.lookupFailed	none	Couldn't look up your location. Search for a city instead.
concerts.location.noMatches	none	No matching places for your location. Try searching for a city instead.
concerts.location.noneFound	none	No locations found
concerts.location.permissionDenied	none	Location access is off. Turn it on in Windows Settings, or search for a city instead.
concerts.location.saveFailed	none	Couldn't save that location. Try again.
concerts.location.searchCities	none	Search cities
concerts.location.searchFailed	none	Search failed. Check your connection and try again.
concerts.location.searching	none	Searching…
concerts.location.set	none	Set location
concerts.location.timedOut	none	Finding your location took too long. Try again, or search for a city.
concerts.location.unavailable	none	Your location isn't available right now. Search for a city instead.
concerts.location.useMine	none	Use my location
concerts.nearApproximate	none	Near {place} (approximate)
concerts.nearYou	none	Near you
concerts.playlistsForScene	none	Playlists for the scene
concerts.recommendedForYou	none	Recommended for you
concerts.schedule.cityCount	plural	{count, plural, one {# city} other {# cities}}
concerts.schedule.nextShow	none	Next show · {relativeTime}
concerts.schedule.nights	plural	{count, plural, one {# night} other {# nights}}
concerts.schedule.noMoreDates	none	No other dates near you
concerts.schedule.noMoreDatesSubtitle	none	That's every show on sale for this location right now. Try another location to see the rest of the tour.
concerts.schedule.noUpcoming	none	No upcoming concerts
concerts.schedule.noUpcomingSubtitle	none	There are no dates on sale right now. Try a different location or check back later.
concerts.schedule.onTour	none	On tour
concerts.schedule.relative.days	plural	{count, plural, one {in # day} other {in # days}}
concerts.schedule.relative.months	plural	{count, plural, one {in # month} other {in # months}}
concerts.schedule.relative.today	none	today
concerts.schedule.relative.tomorrow	none	tomorrow
concerts.schedule.relative.weeks	plural	{count, plural, one {in # week} other {in # weeks}}
concerts.schedule.showAll	none	Show all {count}
concerts.schedule.showCount	plural	{count, plural, one {# show} other {# shows}}
concerts.schedule.support.more	plural	{count, plural, one {with {first}, {second} +# more} other {with {first}, {second} +# more}}
concerts.schedule.support.one	none	with {first}
concerts.schedule.support.two	none	with {first}, {second}
concerts.schedule.tourDates	none	Tour dates
concerts.schedule.viewEvent	none	View event
concerts.setLocation	none	Set location
concerts.soldOut	none	Sold out or unavailable
concerts.subtitle	none	Live shows, festival dates, and artists playing near you.
concerts.title	none	Concerts
crash.body	none	Wavee crashed.
crash.logLine	none	Log: {path}
crash.openFolderQuestion	none	Open the report folder now?
crash.reportLine	none	Crash report: {path}
crash.title	none	Oops! Wavee crashed
detail.aboutRelease	none	About this release
detail.aboutTheArtist	none	About the artist
detail.access.privateCaption	none	Only you and collaborators
detail.access.publicCaption	none	Anyone can find and view
detail.addToPlaylist	none	Add to playlist
detail.addToQueue	none	Add to queue
detail.addedFirstToQueue	none	Added the first {count} to queue
detail.addedToPlaylist	none	Added to {name}
detail.addedToQueue	none	Added {count} to queue
detail.badge.album	none	ALBUM
detail.badge.compilation	none	COMPILATION
detail.badge.ep	none	EP
detail.badge.episode	none	EPISODE
detail.badge.explicit	none	EXPLICIT
detail.badge.single	none	SINGLE
detail.chartNewEntries	plural	{count, plural, one {# new entry} other {# new entries}} · {date}
detail.clearSelection	none	Clear selection
detail.collabCount	plural	{n, plural, one {# collaborator} other {# collaborators}}
detail.collabOpen	none	Open to collaboration
detail.collabView	none	View collaborators
detail.collaborator	none	Collaborator
detail.column.addedBy	none	Added by
detail.column.album	none	Album
detail.column.artist	none	Artist
detail.column.dateAdded	none	Date added
detail.column.number	none	#
detail.column.plays	none	Plays
detail.column.song	none	Song
detail.column.tempo	none	BPM · Key
detail.column.time	none	Time
detail.column.title	none	Title
detail.copyToPlaylist	none	Copy to playlist
detail.daysAgo	plural	{count, plural, one {# day ago} other {# days ago}}
detail.density.comfortable	none	Comfortable
detail.density.compact	none	Compact
detail.density.cozy	none	Cozy
detail.density.default	none	Default
detail.density.rowSize	none	Row size
detail.discography.showAllTracks	none	Show all {n} tracks
detail.durationHrMin	none	{hours} hr {minutes} min
detail.durationMin	none	{minutes} min
detail.edit.cancel	none	Cancel
detail.edit.changeCover	none	Change cover
detail.edit.collaborative	none	Collaborative playlist
detail.edit.collaborativeHint	none	Collaborators can add, remove, and reorder songs.
detail.edit.conflict	none	This playlist changed — try again.
detail.edit.copyInviteLink	none	Copy invite link
detail.edit.createFailed	none	Couldn’t create the playlist.
detail.edit.deletePlaylist	none	Delete playlist
detail.edit.deletePlaylistConfirm	none	Delete this playlist? It will be removed from your library. This cannot be undone.
detail.edit.deletedElsewhere	none	This playlist was deleted.
detail.edit.descriptionPlaceholder	none	Add an optional description
detail.edit.dropCover	none	Drop image to change cover
detail.edit.failed	none	Something went wrong. Try again.
detail.edit.forbidden	none	You can’t edit this playlist anymore.
detail.edit.inviteCollaborators	none	Invite collaborators
detail.edit.inviteHint	none	Anyone with the link can join this playlist as a collaborator.
detail.edit.movedRows	plural	{count, plural, one {Moved # song} other {Moved # songs}}
detail.edit.namePlaceholder	none	Playlist name
detail.edit.offlineSpotifyEdits	none	Sign in to edit Spotify playlists.
detail.edit.pendingCount	plural	{count, plural, one {# change pending} other {# changes pending}}
detail.edit.pendingSync	none	Saved on this device — still syncing.
detail.edit.pickCover	none	Choose playlist cover image
detail.edit.publicPlaylist	none	Public playlist
detail.edit.queuedOffline	none	You’re offline — this change will sync when you’re back.
detail.edit.removedFromPlaylist	plural	{count, plural, one {Removed # song} other {Removed # songs}}
detail.edit.reorderConflict	none	Couldn’t reorder — the playlist changed elsewhere.
detail.edit.save	none	Save
detail.edit.saved	none	Saved
detail.edit.saving	none	Saving…
detail.empty.loadFailed	none	Couldn't load these songs
detail.empty.noMatch	none	No songs match your filter
detail.empty.noTracks	none	Nothing here yet
detail.factLabel	none	Label
detail.factLength	none	Length
detail.factOfCount	none	{n} of {total}
detail.factReleased	none	Released
detail.factReleases	none	Releases
detail.factSong	none	Song
detail.factSongs	none	Songs
detail.fansAlsoLike	none	Fans also like
detail.featuredOn	none	Featured on
detail.filter.activeCount	none	{count} active filters
detail.filter.albumOnly	none	Album
detail.filter.all	none	All
detail.filter.allChip	none	All
detail.filter.allTracks	none	All tracks
detail.filter.anyDuration	none	Any duration
detail.filter.anySource	none	Any source
detail.filter.anyTempo	none	Any tempo
detail.filter.anyTime	none	Any time
detail.filter.artistOnly	none	Artist
detail.filter.clear	none	Clear
detail.filter.clearFilters	none	Clear all filters
detail.filter.content	none	Content
detail.filter.dateAdded	none	Date added
detail.filter.duration	none	Duration
detail.filter.everything	none	Everything
detail.filter.explicitContent	none	Explicit content
detail.filter.hide	none	Hide
detail.filter.lastSevenDays	none	Last 7 days
detail.filter.lastSixMonths	none	Last 6 months
detail.filter.lastThirtyDays	none	Last 30 days
detail.filter.lastYear	none	Last year
detail.filter.likedOnly	none	Liked only
detail.filter.local	none	Local files
detail.filter.moreFilters	none	More filters
detail.filter.noFiltersApplied	none	No filters applied
detail.filter.only	none	Only
detail.filter.overFive	none	Over 5 minutes
detail.filter.playableOnly	none	Available to play
detail.filter.searchIn	none	Search in
detail.filter.searchThisList	none	Search this list
detail.filter.source	none	Source
detail.filter.streamed	none	Streaming
detail.filter.tempo	none	Tempo
detail.filter.tempo120To139	none	Fast — 120 to 139 BPM
detail.filter.tempo140Up	none	Very fast — 140 BPM and up
detail.filter.tempo90To119	none	Medium — 90 to 119 BPM
detail.filter.tempoUnder90	none	Slow — under 90 BPM
detail.filter.threeToFive	none	3–5 minutes
detail.filter.title	none	Filter tracks
detail.filter.titleOnly	none	Title
detail.filter.underThree	none	Under 3 minutes
detail.filter.videoTracks	none	Video tracks
detail.findPlaylist	none	Find a playlist
detail.goToAlbum	none	Go to album
detail.goToArtist	none	Go to artist
detail.goToPlaylist	none	Open
detail.likedCover.note	none	Built from your latest likes — the cover changes as you like songs. Stock keeps the fixed artwork.
detail.likedCover.pill	none	Cover style
detail.likedCover.style.feature	none	Feature
detail.likedCover.style.lens	none	Lens
detail.likedCover.style.marquee	none	Marquee
detail.likedCover.style.mosaic	none	Mosaic
detail.likedCover.style.rainbow	none	Rainbow
detail.likedCover.style.stack	none	Stack
detail.likedCover.style.stock	none	Stock
detail.likedCover.style.tone	none	Tone
detail.likedCover.style.wall	none	Wall
detail.likedCover.title	none	Cover style
detail.likedFacts.allArtists	none	All artists
detail.likedFacts.artistTip	plural	{artist} · {count, plural, one {# liked song} other {# liked songs}}
detail.likedFacts.artistTipAdded	plural	{artist} · {count, plural, one {# song} other {# songs}}
detail.likedFacts.band120	none	120 – 139 bpm
detail.likedFacts.band140	none	140 bpm and up
detail.likedFacts.band90	none	90 – 119 bpm
detail.likedFacts.bandName120	none	Fast
detail.likedFacts.bandName140	none	Very fast
detail.likedFacts.bandName90	none	Medium
detail.likedFacts.bandNameUnder90	none	Slow
detail.likedFacts.bandUnder90	none	under 90 bpm
detail.likedFacts.blend	none	Your blend
detail.likedFacts.bpmMedian	none	bpm · median
detail.likedFacts.collectingSince	none	Collecting since {date}
detail.likedFacts.decade	none	mostly the {decade}s
detail.likedFacts.lastAdd	none	last add {date}
detail.likedFacts.lastLike	none	last like {date}
detail.likedFacts.lastYear	plural	{count, plural, one {# song} other {# songs}} you liked this week last year
detail.likedFacts.lensAdded	none	Added {range}
detail.likedFacts.lensClear	none	Clear this filter
detail.likedFacts.lensWeek	none	Liked {range}
detail.likedFacts.lensYear	none	{year}
detail.likedFacts.lensYears	none	{start} – {end}
detail.likedFacts.likedDelta	none	+{count}
detail.likedFacts.moreArtists	plural	{count, plural, one {# more} other {# more}}
detail.likedFacts.moreTags	plural	{count, plural, one {# more} other {# more}}
detail.likedFacts.mostLiked	none	Most liked
detail.likedFacts.mostTracks	none	most tracks
detail.likedFacts.oldest	none	oldest like {title}
detail.likedFacts.oldestAdd	none	oldest add {title}
detail.likedFacts.oldestTrack	none	oldest track {title}
detail.likedFacts.oldestTrackYear	none	oldest track {title} ({year})
detail.likedFacts.pillBlendFlat	none	{count} styles, none over {share}
detail.likedFacts.pillCount	none	{count} of {known}
detail.likedFacts.pillMostly	none	mostly
detail.likedFacts.pillTempoTip	none	median {median} bpm · {known} of {total} tracks have a tempo
detail.likedFacts.pillYearsTip	plural	{range} · {count, plural, one {# track} other {# tracks}} of {known} dated
detail.likedFacts.playThem	none	Play them
detail.likedFacts.rediscover	none	Rediscover
detail.likedFacts.shareTip	plural	{tag} · {count, plural, one {# song} other {# songs}} · {share}
detail.likedFacts.showLess	none	Show less
detail.likedFacts.since	none	Liking since {date}
detail.likedFacts.songsAdded	plural	{count, plural, one {song added} other {songs added}}
detail.likedFacts.songsLiked	plural	{count, plural, one {song liked} other {songs liked}}
detail.likedFacts.tailHeader	none	The other {count}
detail.likedFacts.tailShareTip	plural	{tag} · {count, plural, one {# song} other {# songs}} · {share} of the tail
detail.likedFacts.tailSongs	plural	{count, plural, one {# song} other {# songs}}
detail.likedFacts.tempo	none	Tempo
